,username,date,engagement,start,end
0,S001,27Feb,1,2017-02-27 09:33:00+01:00,2017-02-27 10:11:00+01:00
1,S001,27Feb,1,2017-02-27 08:32:00+01:00,2017-02-27 09:19:00+01:00
2,S001,27Feb,1,2017-02-27 11:31:00+01:00,2017-02-27 12:19:00+01:00
3,S001,27Feb,1,2017-02-27 10:30:00+01:00,2017-02-27 11:16:00+01:00
4,S001,8March,1,2017-03-08 11:33:00+01:00,2017-03-08 12:16:00+01:00
5,S001,8March,1,2017-03-08 10:32:00+01:00,2017-03-08 11:21:00+01:00
6,S003,27Feb,0,2017-02-27 09:33:00+01:00,2017-02-27 10:11:00+01:00
7,S003,27Feb,0,2017-02-27 08:32:00+01:00,2017-02-27 09:19:00+01:00
8,S003,6March,0,2017-03-06 09:34:00+01:00,2017-03-06 10:11:00+01:00
9,S003,6March,0,2017-03-06 08:35:00+01:00,2017-03-06 09:16:00+01:00
10,S003,6March,0,2017-03-06 11:27:00+01:00,2017-03-06 12:16:00+01:00
11,S003,6March,0,2017-03-06 10:31:00+01:00,2017-03-06 11:14:00+01:00
12,S004,6March,0,2017-03-06 09:34:00+01:00,2017-03-06 10:11:00+01:00
13,S004,6March,0,2017-03-06 08:35:00+01:00,2017-03-06 09:16:00+01:00
14,S004,10March,1,2017-03-10 11:32:00+01:00,2017-03-10 12:16:00+01:00
15,S004,10March,1,2017-03-10 10:33:00+01:00,2017-03-10 11:18:00+01:00
16,S005,6March,0,2017-03-06 09:34:00+01:00,2017-03-06 10:11:00+01:00
17,S005,6March,0,2017-03-06 08:35:00+01:00,2017-03-06 09:16:00+01:00
18,S006,22Feb,1,2017-02-22 11:29:00+01:00,2017-02-22 12:10:00+01:00
19,S006,22Feb,1,2017-02-22 10:30:00+01:00,2017-02-22 11:14:00+01:00
20,S006,3March,1,2017-03-03 11:31:00+01:00,2017-03-03 11:49:00+01:00
21,S006,3March,1,2017-03-03 10:30:00+01:00,2017-03-03 11:16:00+01:00
22,S007,27Feb,1,2017-02-27 11:31:00+01:00,2017-02-27 12:19:00+01:00
23,S007,27Feb,1,2017-02-27 10:30:00+01:00,2017-02-27 11:16:00+01:00
24,S008,27Feb,1,2017-02-27 09:33:00+01:00,2017-02-27 10:11:00+01:00
25,S008,27Feb,1,2017-02-27 08:32:00+01:00,2017-02-27 09:19:00+01:00
26,S008,22Feb,0,2017-02-22 11:29:00+01:00,2017-02-22 12:10:00+01:00
27,S008,22Feb,0,2017-02-22 10:30:00+01:00,2017-02-22 11:14:00+01:00
28,S008,8March,0,2017-03-08 11:33:00+01:00,2017-03-08 12:16:00+01:00
29,S008,8March,0,2017-03-08 10:32:00+01:00,2017-03-08 11:21:00+01:00
30,S008,10March,0,2017-03-10 11:32:00+01:00,2017-03-10 12:16:00+01:00
31,S008,10March,0,2017-03-10 10:33:00+01:00,2017-03-10 11:18:00+01:00
32,S009,6March,0,2017-03-06 09:34:00+01:00,2017-03-06 10:11:00+01:00
33,S009,6March,0,2017-03-06 08:35:00+01:00,2017-03-06 09:16:00+01:00
34,S009,6March,0,2017-03-06 11:27:00+01:00,2017-03-06 12:16:00+01:00
35,S009,6March,0,2017-03-06 10:31:00+01:00,2017-03-06 11:14:00+01:00
36,S010,6March,0,2017-03-06 09:34:00+01:00,2017-03-06 10:11:00+01:00
37,S010,6March,0,2017-03-06 08:35:00+01:00,2017-03-06 09:16:00+01:00
38,S010,27Feb,0,2017-02-27 11:31:00+01:00,2017-02-27 12:19:00+01:00
39,S010,27Feb,0,2017-02-27 10:30:00+01:00,2017-02-27 11:16:00+01:00
40,S010,8March,0,2017-03-08 11:33:00+01:00,2017-03-08 12:16:00+01:00
41,S010,8March,0,2017-03-08 10:32:00+01:00,2017-03-08 11:21:00+01:00
42,S010,10March,0,2017-03-10 11:32:00+01:00,2017-03-10 12:16:00+01:00
43,S010,10March,0,2017-03-10 10:33:00+01:00,2017-03-10 11:18:00+01:00
44,S013,27Feb,1,2017-02-27 09:33:00+01:00,2017-02-27 10:11:00+01:00
45,S013,27Feb,1,2017-02-27 08:32:00+01:00,2017-02-27 09:19:00+01:00
46,S013,6March,1,2017-03-06 09:34:00+01:00,2017-03-06 10:11:00+01:00
47,S013,6March,1,2017-03-06 08:35:00+01:00,2017-03-06 09:16:00+01:00
48,S013,22Feb,1,2017-02-22 11:29:00+01:00,2017-02-22 12:10:00+01:00
49,S013,22Feb,1,2017-02-22 10:30:00+01:00,2017-02-22 11:14:00+01:00
50,S013,8March,1,2017-03-08 11:33:00+01:00,2017-03-08 12:16:00+01:00
51,S013,8March,1,2017-03-08 10:32:00+01:00,2017-03-08 11:21:00+01:00
52,S046,23Feb,1,2017-02-23 14:36:00+01:00,2017-02-23 15:25:00+01:00
53,S046,23Feb,0,2017-02-23 13:36:00+01:00,2017-02-23 14:25:00+01:00
54,S046,7March,1,2017-03-07 14:33:00+01:00,2017-03-07 15:22:00+01:00
55,S046,7March,0,2017-03-07 13:35:00+01:00,2017-03-07 14:23:00+01:00
56,S047,7March,0,2017-03-07 14:33:00+01:00,2017-03-07 15:22:00+01:00
57,S047,7March,0,2017-03-07 13:35:00+01:00,2017-03-07 14:23:00+01:00
58,S050,7March,0,2017-03-07 14:33:00+01:00,2017-03-07 15:22:00+01:00
59,S050,7March,0,2017-03-07 13:35:00+01:00,2017-03-07 14:23:00+01:00
